service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"20160413_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160413_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160413_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160413_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160414_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160414_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160414_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160414_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160415_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160415_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160415_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160415_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160416_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160418_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160418_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160418_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160418_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160421_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160421_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160421_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160421_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160422_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160423_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160425_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160425_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160425_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160425_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160428_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160428_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160428_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160428_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160429_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160429_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160429_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160429_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160430_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160501_99991231_mon0_tue0_wed0_thu0_fri0_sat0_sun1",0,0,0,0,0,0,1,20180820,20190819
"20160502_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160502_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160502_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160502_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160503_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160503_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160503_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160503_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160504_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160504_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160504_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160504_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160505_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160505_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160505_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160505_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160506_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160506_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160506_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160506_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160507_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160508_99991231_mon0_tue0_wed0_thu0_fri0_sat0_sun1",0,0,0,0,0,0,1,20180820,20190819
"20160514_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160520_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160520_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160520_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160520_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160521_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160528_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20160529_99991231_mon0_tue0_wed0_thu0_fri0_sat0_sun1",0,0,0,0,0,0,1,20180820,20190819
"20160609_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160609_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160609_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160609_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160707_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160707_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160707_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160707_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160711_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160711_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160711_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160825_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160825_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160825_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160825_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20160930_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20160930_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20160930_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20160930_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20161015_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20161022_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20161026_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20161027_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20161027_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20161027_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20161027_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20161031_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20161031_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20161031_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20161031_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20161102_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20161102_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20161102_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20161102_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20161105_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20161121_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20161121_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20161121_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20161121_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20161126_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20161211_99991231_mon0_tue0_wed0_thu0_fri0_sat0_sun1",0,0,0,0,0,0,1,20180820,20190819
"20161217_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20170107_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20170118_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170118_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170118_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170118_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170121_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20170211_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20170309_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170309_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170309_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170309_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170310_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170310_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170310_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170310_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170311_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20170320_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170320_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170320_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170320_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170328_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170328_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170328_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170328_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170330_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170330_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170330_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170330_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170402_99991231_mon0_tue0_wed0_thu0_fri0_sat0_sun1",0,0,0,0,0,0,1,20180820,20190819
"20170404_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170404_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
