route_id,service_id,trip_id,direction_id,block_id,shape_id
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_0708_Mar  3 2016  3:46:40:967PM_20170901_99991231_20170404_99991231_6","0708_Mar  3 2016  3:46:40:967PM_20170901_99991231_20170404_99991231_6","0","","03I - WVSU to Transit Mall"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_0831_20170901_99991231_20170404_99991231_3","0831_20170901_99991231_20170404_99991231_3","0","","03N - Mardi Gras Resort to Transit Mall"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_0929_20170901_99991231_20170405_99991231_5","0929_20170901_99991231_20170405_99991231_5","1","","03I - Capitol Complex to Transit Mall"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_0940_20170901_99991231_20170404_99991231_3","0940_20170901_99991231_20170404_99991231_3","1","","03N - Transit Mall to Washington & Stockton"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_0940_20170901_99991231_20170404_99991231_5","0940_20170901_99991231_20170404_99991231_5","1","","03N - Transit Mall to Washington & Stockton"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_0959_20170901_99991231_20170530_99991231_2","0959_20170901_99991231_20170530_99991231_2","1","","03N - Capitol Complex to Nitro Marketplace_Apr  4 2017 11:03:54:733AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1000_Mar  7 2016  6:24:01:847AM_20170901_99991231_20170405_99991231_1","1000_Mar  7 2016  6:24:01:847AM_20170901_99991231_20170405_99991231_1","1","","03N - Transit Mall to Nitro Marketplace_Apr  4 2017 11:05:39:043AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1031_20170901_99991231_20170404_99991231_6","1031_20170901_99991231_20170404_99991231_6","0","","03N - Mardi Gras Resort to Capitol Complex_Mar 28 2017  4:55:02:703PM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1059_Feb 22 2016  6:25:57:673PM_20170901_99991231_20170405_99991231_4","1059_Feb 22 2016  6:25:57:673PM_20170901_99991231_20170405_99991231_4","1","","03N - Capitol Complex to Nitro Marketplace_Apr  4 2017 11:03:54:733AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1237_20170901_99991231_20170404_99991231_7","1237_20170901_99991231_20170404_99991231_7","0","","03N - 26th St to Garage"
