shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,dist_from_previous
R1_in_OrdPk_LTM, 38.367272, -81.684785, 43, 3.56, 0.052
R1_in_OrdPk_LTM, 38.367679, -81.686863, 44, 3.68, 0.116
R1_in_OrdPk_LTM, 38.368904, -81.693854, 45, 4.07, 0.389
R1_in_OrdPk_LTM, 38.369355, -81.696582, 46, 4.22, 0.151
R1_in_OrdPk_LTM, 38.369322, -81.697044, 47, 4.24, 0.025
R1_in_OrdPk_LTM, 38.369048, -81.697790, 48, 4.29, 0.045
R1_in_OrdPk_LTM, 38.367989, -81.700146, 49, 4.44, 0.147
R1_in_OrdPk_LTM, 38.366565, -81.703238, 50, 4.63, 0.195
R1_in_OrdPk_LTM, 38.365426, -81.705699, 51, 4.79, 0.155
R1_in_OrdPk_LTM, 38.364260, -81.708196, 52, 4.94, 0.158
R1_in_OrdPk_LTM, 38.364120, -81.708680, 53, 4.97, 0.028
R1_in_OrdPk_LTM, 38.364081, -81.709057, 54, 4.99, 0.021
R1_in_OrdPk_LTM, 38.364220, -81.710546, 55, 5.07, 0.081
R1_in_OrdPk_LTM, 38.364242, -81.710917, 56, 5.09, 0.020
R1_in_OrdPk_LTM, 38.364130, -81.711580, 57, 5.13, 0.037
R1_in_OrdPk_LTM, 38.363532, -81.712847, 58, 5.21, 0.080
R1_in_OrdPk_LTM, 38.363079, -81.713668, 59, 5.26, 0.054
R1_in_OrdPk_LTM, 38.362314, -81.714489, 60, 5.33, 0.069
R1_in_OrdPk_LTM, 38.361732, -81.714816, 61, 5.38, 0.044
R1_in_OrdPk_LTM, 38.360568, -81.715544, 62, 5.47, 0.089
R1_in_OrdPk_LTM, 38.360004, -81.715921, 63, 5.51, 0.044
R1_in_OrdPk_LTM, 38.359546, -81.716362, 64, 5.55, 0.040
R1_in_OrdPk_LTM, 38.359160, -81.716825, 65, 5.59, 0.037
R1_in_OrdPk_LTM, 38.358785, -81.717532, 66, 5.63, 0.046
R1_in_OrdPk_LTM, 38.358441, -81.718451, 67, 5.69, 0.055
R1_in_OrdPk_LTM, 38.358055, -81.720070, 68, 5.78, 0.092
R1_in_OrdPk_LTM, 38.357343, -81.721924, 69, 5.89, 0.112
R1_in_OrdPk_LTM, 38.356736, -81.723398, 70, 5.98, 0.090
R1_in_OrdPk_LTM, 38.355873, -81.725816, 71, 6.13, 0.144
R1_in_OrdPk_LTM, 38.355291, -81.727455, 72, 6.22, 0.098
R1_in_OrdPk_LTM, 38.354915, -81.728960, 73, 6.31, 0.086
R1_in_OrdPk_LTM, 38.354612, -81.730650, 74, 6.40, 0.094
R1_in_OrdPk_LTM, 38.354202, -81.733054, 75, 6.54, 0.134
R1_in_OrdPk_LTM, 38.353994, -81.734517, 76, 6.62, 0.081
R1_in_OrdPk_LTM, 38.353869, -81.735630, 77, 6.68, 0.061
R1_in_OrdPk_LTM, 38.353806, -81.737708, 78, 6.79, 0.113
R1_in_OrdPk_LTM, 38.353778, -81.739763, 79, 6.90, 0.112
R1_in_OrdPk_LTM, 38.353730, -81.744108, 80, 7.14, 0.236
R1_in_OrdPk_LTM, 38.353740, -81.745557, 81, 7.22, 0.079
R1_in_OrdPk_LTM, 38.353858, -81.746371, 82, 7.26, 0.045
R1_in_OrdPk_LTM, 38.354109, -81.747228, 83, 7.31, 0.050
R1_in_OrdPk_LTM, 38.354612, -81.748749, 84, 7.40, 0.090
R1_in_OrdPk_LTM, 38.355254, -81.750658, 85, 7.52, 0.113
R1_in_OrdPk_LTM, 38.355992, -81.752194, 86, 7.61, 0.098
R1_in_OrdPk_LTM, 38.356692, -81.753375, 87, 7.69, 0.080
R1_in_OrdPk_LTM, 38.358042, -81.755658, 88, 7.85, 0.155
R1_in_OrdPk_LTM, 38.359114, -81.757348, 89, 7.97, 0.118
R1_in_OrdPk_LTM, 38.360099, -81.758400, 90, 8.06, 0.089
R1_in_OrdPk_LTM, 38.362195, -81.760284, 91, 8.23, 0.177
R1_in_OrdPk_LTM, 38.363837, -81.761774, 92, 8.37, 0.139
R1_in_OrdPk_LTM, 38.366456, -81.764136, 93, 8.59, 0.222
R1_in_OrdPk_LTM, 38.367936, -81.765487, 94, 8.72, 0.126
R1_in_OrdPk_LTM, 38.368974, -81.766508, 95, 8.81, 0.091
R1_in_OrdPk_LTM, 38.369724, -81.767487, 96, 8.88, 0.074
R1_in_OrdPk_LTM, 38.370706, -81.769092, 97, 8.99, 0.110
R1_in_OrdPk_LTM, 38.372031, -81.771353, 98, 9.15, 0.153
R1_in_OrdPk_LTM, 38.372488, -81.772194, 99, 9.20, 0.055
R1_in_OrdPk_LTM, 38.373070, -81.773741, 100, 9.30, 0.093
R1_in_OrdPk_LTM, 38.373968, -81.776115, 101, 9.44, 0.143
R1_in_OrdPk_LTM, 38.374284, -81.776993, 102, 9.49, 0.052
R1_in_OrdPk_LTM, 38.374488, -81.777638, 103, 9.53, 0.038
R1_in_OrdPk_LTM, 38.374833, -81.779485, 104, 9.63, 0.103
R1_in_OrdPk_LTM, 38.375230, -81.781100, 105, 9.72, 0.092
R1_in_OrdPk_LTM, 38.375555, -81.782069, 106, 9.78, 0.057
R1_in_OrdPk_LTM, 38.376116, -81.783731, 107, 9.88, 0.098
R1_in_OrdPk_LTM, 38.376863, -81.785482, 108, 9.99, 0.108
R1_in_OrdPk_LTM, 38.378070, -81.787957, 109, 10.15, 0.158
R1_in_OrdPk_LTM, 38.379009, -81.789890, 110, 10.27, 0.123
R1_in_OrdPk_LTM, 38.380060, -81.792081, 111, 10.41, 0.139
