shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,dist_from_previous
R1_in_WestChas, 38.351838, -81.635520, 1, 0.00, 0.000
R1_in_WestChas, 38.351331, -81.636342, 2, 0.06, 0.057
R1_in_WestChas, 38.351197, -81.636734, 3, 0.08, 0.023
R1_in_WestChas, 38.350595, -81.637619, 4, 0.14, 0.064
R1_in_WestChas, 38.352221, -81.639599, 5, 0.30, 0.155
R1_in_WestChas, 38.353611, -81.641281, 6, 0.43, 0.132
R1_in_WestChas, 38.354916, -81.642785, 7, 0.55, 0.122
R1_in_WestChas, 38.355962, -81.644001, 8, 0.65, 0.098
R1_in_WestChas, 38.356363, -81.644396, 9, 0.69, 0.035
R1_in_WestChas, 38.357265, -81.645044, 10, 0.76, 0.071
R1_in_WestChas, 38.358941, -81.646407, 11, 0.89, 0.137
R1_in_WestChas, 38.360179, -81.647390, 12, 1.00, 0.101
R1_in_WestChas, 38.361486, -81.648462, 13, 1.10, 0.107
R1_in_WestChas, 38.361903, -81.648798, 14, 1.14, 0.034
R1_in_WestChas, 38.361984, -81.648888, 15, 1.14, 0.007
R1_in_WestChas, 38.362592, -81.650188, 16, 1.23, 0.082
R1_in_WestChas, 38.364573, -81.654332, 17, 1.49, 0.263
R1_in_WestChas, 38.365450, -81.656148, 18, 1.60, 0.116
R1_in_WestChas, 38.366545, -81.658404, 19, 1.75, 0.144
R1_in_WestChas, 38.366916, -81.659306, 20, 1.80, 0.055
R1_in_WestChas, 38.366837, -81.659999, 21, 1.84, 0.038
R1_in_WestChas, 38.366898, -81.660228, 22, 1.86, 0.013
R1_in_WestChas, 38.366962, -81.660370, 23, 1.86, 0.009
R1_in_WestChas, 38.368535, -81.663725, 24, 2.08, 0.212
R1_in_WestChas, 38.369742, -81.666331, 25, 2.24, 0.164
R1_in_WestChas, 38.370030, -81.666816, 26, 2.27, 0.033
R1_in_WestChas, 38.370498, -81.667883, 27, 2.34, 0.066
R1_in_WestChas, 38.370924, -81.669376, 28, 2.43, 0.086
R1_in_WestChas, 38.369983, -81.670064, 29, 2.50, 0.075
R1_in_WestChas, 38.369872, -81.670007, 30, 2.51, 0.008
R1_in_WestChas, 38.369775, -81.669776, 31, 2.52, 0.014
R1_in_WestChas, 38.368439, -81.670778, 32, 2.63, 0.107
R1_in_WestChas, 38.368359, -81.670599, 33, 2.64, 0.011
