service_id,date,exception_type
MTWThF,20170101,2
MTWThF,20170529,2
MTWThF,20170704,2
MTWThF,20170904,2
MTWThF,20171123,2
MTWThF,20171124,2
MTWThF,20171225,2
MTWThF,20171009,2
MTWThF,20170116,2
TF,20170101,2
TF,20170529,2
TF,20170704,2
TF,20170904,2
TF,20171123,2
TF,20171124,2
TF,20171225,2
TF,20171009,2
TF,20170116,2
MWF,20170101,2
MWF,20170529,2
MWF,20170704,2
MWF,20170904,2
MWF,20171123,2
MWF,20171124,2
MWF,20171225,2
MWF,20171009,2
MWF,20170116,2
MTh,20170101,2
MTh,20170529,2
MTh,20170704,2
MTh,20170904,2
MTh,20171123,2
MTh,20171124,2
MTh,20171225,2
MTh,20171009,2
MTh,20170116,2
Th,20170101,2
Th,20170529,2
Th,20170704,2
Th,20170904,2
Th,20171123,2
Th,20171124,2
Th,20171225,2
Th,20171009,2
Th,20170116,2
