route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
R1,weekdays,1in_rt22_1, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_2, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_3, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_4, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_5, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_6, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_7, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_8, Capitol,,1,,1_MC_In,1
R1,weekdays,1in_rt22_9, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_10, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_11, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_12, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_13, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_14, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_15, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_16, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_17, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_18, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_19, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_20, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_21, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_22, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_23, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_24, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_25, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_26, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_27, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_28, Capitol,,1,,1_KT_In,1
R1,weekdays,1in_rt22_29, Capitol,,1,,1_KT_In,1
R1,sundays,1out_g_6, St. Albans,,0,,1_KT_Out,1
R1,sundays,1out_rt2_64, St. Albans,,0,,1_KT_Out,1
R1,sundays,1out_rt2_65, St. Albans,,0,,1_KT_Out,1
R1,sundays,1out_rt2_66, St. Albans,,0,,1_KT_Out,1
R1,sundays,1out_rt2_67, St. Albans,,0,,1_KT_Out,1
R1,sundays,1out_rt2_68, St. Albans,,0,,1_KT_Out,1
R1,sundays,1out_rt2_69, St. Albans,,0,,1_KT_Out,1
R1,sundays,1out_rt2_70, St. Albans,,0,,1_KT_Out,1
R1,sundays,1out_rt2_71, St. Albans,,0,,1_KT_Out,1
R1,sundays,1out_rt2_72, St. Albans,,0,,1_KT_Out,1
R1,sundays,1out_rt2_73, St. Albans,,0,,1_KT_Out,1
R1,sundays,1in_g_10, Capitol,,1,,1_MC_In,1
R1,sundays,1in_rt2_55, Capitol,,1,,1_KT_In,1
R1,sundays,1in_rt2_56, Capitol,,1,,1_KT_In,1
R1,sundays,1in_rt2_57, Capitol,,1,,1_KT_In,1
R1,sundays,1in_rt2_58, Capitol,,1,,1_KT_In,1
R1,sundays,1in_rt2_59, Capitol,,1,,1_KT_In,1
R1,sundays,1in_rt2_60, Capitol,,1,,1_KT_In,1
R1,sundays,1in_rt2_61, Capitol,,1,,1_KT_In,1
R1,sundays,1in_rt2_62, Capitol,,1,,1_KT_In,1
R1,sundays,1in_rt2_63, Capitol,,1,,1_KT_In,1
R1,saturdays,1out_g_4, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_g_5, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_ltm_3, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt1_1, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt1_2, St. Albans,,0,,1_MC_Out,1
R1,saturdays,1out_rt2_33, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_34, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_35, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_36, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_37, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_38, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_39, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_40, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_41, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_42, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_43, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_44, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_45, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_47, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_48, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_49, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_50, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_51, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_52, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_53, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_54, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_55, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_56, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_57, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_58, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_59, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_60, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_61, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_62, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt2_63, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_30, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_31, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_32, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_33, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_34, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_35, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_36, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_37, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_38, St. Albans,,0,,1_KT_Out,1
