shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,d_between_pts_mi
HAT,39.145882,-80.038742,320,3.90,0.01
HAT,39.146244,-80.038933,325,3.92,0.01
HAT,39.146534,-80.037193,330,4.04,0.12
HAT,39.147705,-80.037483,335,4.06,0.02
HAT,39.147655,-80.038406,340,4.13,0.06
HAT,39.147686,-80.038734,345,4.15,0.02
HAT,39.148411,-80.038551,350,4.16,0.02
HAT,39.148792,-80.036552,355,4.30,0.14
HAT,39.150787,-80.037117,360,4.35,0.05
HAT,39.151527,-80.038406,365,4.44,0.09
HAT,39.15221,-80.03775,370,4.48,0.05
HAT,39.15387,-80.040573,375,4.68,0.20
HAT,39.155342,-80.042542,380,4.82,0.14
HAT,39.156631,-80.044182,385,4.93,0.11
HAT,39.16124,-80.042503,390,5.06,0.13
HAT,39.162373,-80.04203,395,5.10,0.04
HAT,39.16259,-80.043007,400,5.16,0.07
HAT,39.160343,-80.043877,405,5.23,0.07
HAT,39.160118,-80.042877,410,5.30,0.07
HAT,39.156631,-80.044182,415,5.40,0.10
HAT,39.155342,-80.042542,420,5.51,0.11
HAT,39.15387,-80.040573,425,5.65,0.14
HAT,39.153355,-80.041199,430,5.69,0.04
HAT,39.153278,-80.041367,435,5.70,0.01
HAT,39.153183,-80.042526,440,5.78,0.08
HAT,39.152863,-80.044083,445,5.89,0.11
HAT,39.153248,-80.044136,450,5.90,0.01
HAT,39.154594,-80.044502,455,5.93,0.03
HAT,39.155434,-80.044937,460,5.96,0.03
HAT,39.155876,-80.045334,465,5.99,0.03
HAT,39.156467,-80.046059,470,6.04,0.05
HAT,39.156654,-80.046173,475,6.05,0.01
HAT,39.15683,-80.046165,480,6.05,0.00
HAT,39.157803,-80.045883,485,6.07,0.02
HAT,39.158756,-80.045914,490,6.08,0.01
HAT,39.158955,-80.045967,495,6.09,0.00
HAT,39.159443,-80.046471,500,6.12,0.04
HAT,39.160027,-80.0467,505,6.14,0.02
HAT,39.160187,-80.046844,510,6.15,0.01
HAT,39.160728,-80.048508,515,6.27,0.12
