service_id,date,exception_type
167-164,20150101,2
167-164,20150119,2
167-164,20150216,2
167-164,20140418,2
167-164,20150403,2
167-164,20140526,2
167-164,20150525,2
167-164,20140620,2
167-164,20140704,2
167-164,20140901,2
167-164,20150907,2
167-164,20141013,2
167-164,20151012,2
167-164,20141111,2
167-164,20151111,2
167-164,20141127,2
167-164,20151126,2
167-164,20141128,2
167-164,20151127,2
167-164,20141225,2
167-164,20151225,2
