stop_id,stop_name,stop_desc,stop_lat,stop_lon
"10th St & Fairlawn Ave_10th St & Fairlawn Ave_38.362060_-81.737450","10th St & Fairlawn Ave","",38.362060,-81.737450
"16th St & Fairlawn Ave_16th St & Fairlawn Ave_38.365420_-81.741620","16th St & Fairlawn Ave","",38.365420,-81.741620
"16th St & Fletcher Ave_16th St & Fletcher Ave_38.364130_-81.742580","16th St & Fletcher Ave","",38.364130,-81.742580
"1st Ave & 13th St_1st Ave & 13th St_38.417950_-81.843761","1st Ave & 13th St","",38.417950,-81.843761
"1st Ave & 18th St_1st Ave & 18th St_38.420420_-81.843080","1st Ave & 18th St","",38.420420,-81.843080
"1st Ave & 22nd St_1st Ave & 22nd St_38.423480_-81.841812","1st Ave & 22nd St","",38.423480,-81.841812
"1st Ave & 27th St_1st Ave & 27th St_38.425940_-81.840580","1st Ave & 27th St","",38.425940,-81.840580
"1st Ave & 34th St_1st Ave & 34th St_38.429190_-81.838990","1st Ave & 34th St","",38.429190,-81.838990
"1st Ave & 39th St_1st Ave & 39th St_38.431650_-81.837780","1st Ave & 39th St","",38.431650,-81.837780
"1st Ave & 40th St_1st Ave & 40th St_38.431820_-81.837150","1st Ave & 40th St","",38.431820,-81.837150
"1st Ave & 8th St_1st Ave & 8th St_38.415370_-81.844090","1st Ave & 8th St","",38.415370,-81.844090
"1st Ave & Red Oak Dr_1st Ave & Red Oak Dr_38.390550_-81.809620","1st Ave & Red Oak Dr","",38.390550,-81.809620
"1st Ave & Spring St_1st Ave & Spring St_38.392954_-81.825172","1st Ave & Spring St","",38.392954,-81.825172
"2nd St & Lewis Ave_2nd St & Lewis Ave_38.389300_-81.835030","2nd St & Lewis Ave","",38.389300,-81.835030
"31st St & Chesterfield Ave_31st St & Chesterfield Ave_38.327310_-81.605200","31st St & Chesterfield Ave","",38.327310,-81.605200
"35th St & Noyes Ave_35th St & Noyes Ave_38.329410_-81.598570","35th St & Noyes Ave","",38.329410,-81.598570
"36th St & Noyes Ave_36th St & Noyes Ave_38.329450_-81.596770","36th St & Noyes Ave","",38.329450,-81.596770
"40th St & Bailes Rd_40th St & Bailes Rd_38.430450_-81.832300","40th St & Bailes Rd","",38.430450,-81.832300
"40th St & Clark Dr_40th St & Clark Dr_38.429670_-81.819920","40th St & Clark Dr","",38.429670,-81.819920
"40th St & Cochran Cir_40th St & Cochran Cir_38.429990_-81.827960","40th St & Cochran Cir","",38.429990,-81.827960
"40th St & Cross Lanes Dr_40th St & Cross Lanes Dr_38.430820_-81.810280","40th St & Cross Lanes Dr","",38.430820,-81.810280
"40th St & Crossroads Village Dr_40th St & Crossroads Village Dr_38.429840_-81.813780","40th St & Crossroads Village Dr","",38.429840,-81.813780
"4th Ave & Florida St_4th Ave & Florida St_38.366900_-81.660250","4th Ave & Florida St","",38.366900,-81.660250
"4th Ave & Patrick St_4th Ave & Patrick St_38.369440_-81.665690","4th Ave & Patrick St","",38.369440,-81.665690
"4th Ave & Stockton St_4th Ave & Stockton St_38.368594_-81.663809","4th Ave & Stockton St","",38.368594,-81.663809
"6th Ave & 4th St_6th Ave & 4th St_38.385763_-81.833714","6th Ave & 4th St","",38.385763,-81.833714
"6th Ave & 6th St_6th Ave & 6th St_38.385243_-81.831558","6th Ave & 6th St","",38.385243,-81.831558
"6th Ave & 9th St_6th Ave & 9th St_38.384331_-81.827985","6th Ave & 9th St","",38.384331,-81.827985
"6th Ave & B St_6th Ave & B St_38.387140_-81.838330","6th Ave & B St","",38.387140,-81.838330
"6th Ave & E St_6th Ave & E St_38.366850_-81.697950","6th Ave & E St","",38.366850,-81.697950
