stop_id,stop_name,stop_desc,stop_lat,stop_lon
"7th Ave & 26th St (Inbound)_7th Ave & 26th St (I)_38.377050_-81.676240","7th Ave & 26th St (Inbound)","7th Ave & 26th St (I)",38.377050,-81.676240
"7th Ave & 26th St (Outbound)_7th Ave & 26th St (O)_38.376540_-81.676390","7th Ave & 26th St (Outbound)","7th Ave & 26th St (O)",38.376540,-81.676390
"7th Ave & 27th St_7th Ave & 27th St_38.376574_-81.679485","7th Ave & 27th St","",38.376574,-81.679485
"7th Ave & 37th St_7th Ave & 37th St_38.376549_-81.693014","7th Ave & 37th St","",38.376549,-81.693014
"7th Ave & Nease Dr_7th Ave & Nease Dr_38.373320_-81.704500","7th Ave & Nease Dr","",38.373320,-81.704500
"7th Ave & Washington St_7th Ave & Washington St_38.373190_-81.707800","7th Ave & Washington St","",38.373190,-81.707800
"7th Ave & Wilson St_7th Ave & Wilson St_38.371520_-81.708730","7th Ave & Wilson St","",38.371520,-81.708730
"Across Riverwalk Entrance_Across Riverwalk Entrance_38.364142_-81.708256","Across Riverwalk Entrance","",38.364142,-81.708256
"AJMS_AJMS_38.427260_-81.784260","AJMS","",38.427260,-81.784260
"Ashton Place_Ashton Place_38.341892_-81.677197","Ashton Place","",38.341892,-81.677197
"B St & lewis Ave_B St & lewis Ave_38.389910_-81.838290","B St & lewis Ave","",38.389910,-81.838290
"Beech Ave & Edgewood Dr__38.369168_-81.645444","Beech Ave & Edgewood Dr","",38.369168,-81.645444
"Beech Ave & Hunt Ave_Beech Ave & Hunt Ave_38.372200_-81.652840","Beech Ave & Hunt Ave","",38.372200,-81.652840
"Beech Ave & Matthews Ave__38.369777_-81.647318","Beech Ave & Matthews Ave","",38.369777,-81.647318
"Beech Ave & McQueen Ave_Beech Ave & McQueen Ave_38.372728_-81.655207","Beech Ave & McQueen Ave","",38.372728,-81.655207
"Beech Ave & West Ave_Beech Ave & West Ave_38.370810_-81.650120","Beech Ave & West Ave","",38.370810,-81.650120
"Belle Community Center_Belle Community Center_38.230320_-81.535600","Belle Community Center","",38.230320,-81.535600
"Big Chimney Bridge_Big Chimney Bridge_38.403320_-81.541440","Big Chimney Bridge","",38.403320,-81.541440
"Big Tyler Dr & Crystal Dr_Big Tyler Dr & Crystal Dr_38.428032_-81.747456","Big Tyler Dr & Crystal Dr","",38.428032,-81.747456
"Big Tyler Dr & Doc Bailey Rd_Big Tyler Dr & Doc Bailey Rd_38.431930_-81.769510","Big Tyler Dr & Doc Bailey Rd","",38.431930,-81.769510
"Big Tyler Dr & Eagle Rock Dr_Big Tyler Dr & Eagle Rock Dr_38.416250_-81.732527","Big Tyler Dr & Eagle Rock Dr","",38.416250,-81.732527
"Big Tyler Dr & Lincoln Dr_Big Tyler Dr & Lincoln Dr_38.396770_-81.723000","Big Tyler Dr & Lincoln Dr","",38.396770,-81.723000
"Big Tyler Dr & Mayapple Ln_Big Tyler Dr & Mayapple Ln_38.407850_-81.729120","Big Tyler Dr & Mayapple Ln","",38.407850,-81.729120
"Bigley Ave & Ash St_Bigley Ave & Ash St_38.360743_-81.625945","Bigley Ave & Ash St","",38.360743,-81.625945
"Bigley Ave & Garrison Ave_Bigley Ave & Garrison Ave_38.361310_-81.623010","Bigley Ave & Garrison Ave","",38.361310,-81.623010
"Bigley Ave & Glen St_Bigley Ave & Glen St_38.360680_-81.635420","Bigley Ave & Glen St","",38.360680,-81.635420
"Bigley Ave & Pennsylvania Ave_Bigley Ave & Pennsylvania Ave_38.360020_-81.629600","Bigley Ave & Pennsylvania Ave","",38.360020,-81.629600
"Bigley Ave & Spring St_Bigley Ave & Spring St_38.360755_-81.627525","Bigley Ave & Spring St","",38.360755,-81.627525
"Bigley Ave & Westmoreland Dr_Bigley Ave & Westmoreland Dr_38.362190_-81.619280","Bigley Ave & Westmoreland Dr","",38.362190,-81.619280
"Bridge Rd & Birch Rd_Bridge Rd & Birch Rd_38.339754_-81.645308","Bridge Rd & Birch Rd","",38.339754,-81.645308
"Bridge Rd & Chilton Manor_Bridge Rd & Chilton Manor_38.337118_-81.646411","Bridge Rd & Chilton Manor","",38.337118,-81.646411
"Bridge Rd & Myrtle Rd_Bridge Rd & Myrtle Rd_38.342730_-81.641370","Bridge Rd & Myrtle Rd","",38.342730,-81.641370
"Bridge Rd & Oakwood Rd_Bridge Rd & Oakwood Rd_38.333470_-81.649650","Bridge Rd & Oakwood Rd","",38.333470,-81.649650
"Bridge Rd & Walnut Rd_Bridge Rd & Walnut Rd_38.341143_-81.642533","Bridge Rd & Walnut Rd","",38.341143,-81.642533
"Building #5_Building #5_38.338870_-81.610550","Building #5","",38.338870,-81.610550
"Building #6__38.337847_-81.609841","Building #6","",38.337847,-81.609841
"Cabin Creek_Cabin Creek_38.199200_-81.475210","Cabin Creek","",38.199200,-81.475210
"CAMC General Hospital_CAMC General Hospital_38.347320_-81.627490","CAMC General Hospital","",38.347320,-81.627490
"CAMC Memorial_CAMC Memorial_38.331417_-81.604394","CAMC Memorial","",38.331417,-81.604394
"CAMC Women & Children's_CAMC Women & Children's_38.359410_-81.638920","CAMC Women & Children's","",38.359410,-81.638920
"Campbells Creek Dr & Bravo Rd_Campbells Creek Dr & Bravo Rd_38.336659_-81.466190","Campbells Creek Dr & Bravo Rd","",38.336659,-81.466190
"Campbells Creek Dr & Cambronne Ln_Campbells Creek Dr & Cambronne Ln_38.309630_-81.426750","Campbells Creek Dr & Cambronne Ln","",38.309630,-81.426750
"Campbells Creek Dr & Catenary Coal Company Rd_Campbells Creek Dr & Catenary Coal Company Rd_38.344440_-81.477550","Campbells Creek Dr & Catenary Coal Company Rd","",38.344440,-81.477550
"Campbells Creek Dr & Eight Mile Hollow Rd_Campbells Creek Dr & Eight Mile Hollow Rd_38.321016_-81.427475","Campbells Creek Dr & Eight Mile Hollow Rd","",38.321016,-81.427475
"Campbells Creek Dr & Gap View Dr_Campbells Creek Dr & Gap View Dr_38.317130_-81.524670","Campbells Creek Dr & Gap View Dr","",38.317130,-81.524670
"Campbells Creek Dr & Leopold Ln_Campbells Creek Dr & Leopold Ln_38.342110_-81.484090","Campbells Creek Dr & Leopold Ln","",38.342110,-81.484090
"Campbells Creek Dr & Point Lick Dr_Campbells Creek Dr & Point Lick Dr_38.324185_-81.508892","Campbells Creek Dr & Point Lick Dr","",38.324185,-81.508892
"Campbells Creek Dr & Slate Lick Rd_Campbells Creek Dr & Slate Lick Rd_38.331113_-81.454558","Campbells Creek Dr & Slate Lick Rd","",38.331113,-81.454558
"Campbells Creek Dr & Springfork Dr_Campbells Creek Dr & Springfork Dr_38.313597_-81.536087","Campbells Creek Dr & Springfork Dr","",38.313597,-81.536087
"Campbells Creek Dr & Wiley Rd_Campbells Creek Dr & Wiley Rd_38.310180_-81.550160","Campbells Creek Dr & Wiley Rd","",38.310180,-81.550160
"Cantley Dr & Oakwood Rd_Cantley Dr & Oakwood Rd_38.346983_-81.653956","Cantley Dr & Oakwood Rd","",38.346983,-81.653956
"Capital High School_Capital High School_38.372412_-81.575225","Capital High School","",38.372412,-81.575225
"Capitol Complex_Capitol Complex (Greenbrier)_38.337560_-81.610090","Capitol Complex","Capitol Complex (Greenbrier)",38.337560,-81.610090
"Capitol Complex (W)_Capitol Complex (Washington)_38.337070_-81.609670","Capitol Complex (W)","Capitol Complex (Washington)",38.337070,-81.609670
"Capitol Market_Capitol Market_38.352853_-81.628797","Capitol Market","",38.352853,-81.628797
"Carroll Terrace Apartments_Carroll Terrace Apartments_38.340130_-81.622580","Carroll Terrace Apartments","",38.340130,-81.622580
"Carver Career & Technical_Carver Career & Technical_38.289360_-81.561130","Carver Career & Technical","",38.289360,-81.561130
"Cecil Walker Machinery_Cecil Walker Machinery_38.227650_-81.532640","Cecil Walker Machinery","",38.227650,-81.532640
"Cedar Grove_Cedar Grove_38.221089_-81.427202","Cedar Grove","",38.221089,-81.427202
"Center St & Main Ave_Center St & Main Ave_38.394180_-81.830290","Center St & Main Ave","",38.394180,-81.830290
"Central Ave & 2nd Ave_Central Ave & 2nd Ave_38.365020_-81.692180","Central Ave & 2nd Ave","",38.365020,-81.692180
"Central Ave & Glenwood Ave_Central Ave & Glenwood Ave_38.364676_-81.654489","Central Ave & Glenwood Ave","",38.364676,-81.654489
"Central Ave & Hunt Ave_Central Ave & Hunt Ave_38.366315_-81.657925","Central Ave & Hunt Ave","",38.366315,-81.657925
"Central Ave & Kanawha Tpk_Central Ave & Kanawha Tpk_38.363121_-81.691387","Central Ave & Kanawha Tpk","",38.363121,-81.691387
"Central Ave & Macon St_Central Ave & Macon St_38.360156_-81.690523","Central Ave & Macon St","",38.360156,-81.690523
"Central Ave & Park Ave_Central Ave & Park Ave_38.363960_-81.653080","Central Ave & Park Ave","",38.363960,-81.653080
"Central Ave & Vine St_Central Ave & Vine St_38.362520_-81.650110","Central Ave & Vine St","",38.362520,-81.650110
"Chester Rd & Beech Ave__38.368066_-81.642681","Chester Rd & Beech Ave","",38.368066,-81.642681
"Chesterfield Ave & South Park Rd_Chesterfield Ave & South Park Rd_38.326380_-81.601640","Chesterfield Ave & South Park Rd","",38.326380,-81.601640
"City Park_City Park_38.348510_-81.616250","City Park","",38.348510,-81.616250
"Clendenin_Clendenin_38.488830_-81.347790","Clendenin","",38.488830,-81.347790
"Columbia Pipeline Group_Columbia Pipeline Group_38.335720_-81.625060","Columbia Pipeline Group","",38.335720,-81.625060
"Corridor G & Trace Fork Blvd_Corridor G & Trace Fork Blvd_38.332456_-81.710747","Corridor G & Trace Fork Blvd","",38.332456,-81.710747
"Court St & Brawley Walkway_Court St & Brawley Walkway_38.352740_-81.636040","Court St & Brawley Walkway","",38.352740,-81.636040
"Cross Lanes Dr & Big Tyler Rd_Cross Lanes Dr & Big Tyler Rd_38.420708_-81.790615","Cross Lanes Dr & Big Tyler Rd","",38.420708,-81.790615
"Cross lanes Dr & Fairland Dr_Cross lanes Dr & Fairland Dr_38.422130_-81.799760","Cross lanes Dr & Fairland Dr","",38.422130,-81.799760
"Cross Lanes Dr & Goff Mountain Rd__38.420576_-81.791520","Cross Lanes Dr & Goff Mountain Rd","",38.420576,-81.791520
"Cross Lanes Dr & Timber Creek Ln_Cross Lanes Dr & Timber Creek Ln_38.424923_-81.803937","Cross Lanes Dr & Timber Creek Ln","",38.424923,-81.803937
"Cross Terrace Blvd & Parkway Rd_Cross Terrace Blvd & Parkway Rd_38.314350_-81.720030","Cross Terrace Blvd & Parkway Rd","",38.314350,-81.720030
"Crossings Mall_Crossings Mall_38.457240_-81.499342","Crossings Mall","",38.457240,-81.499342
"Cultural Center_Cultural Center_38.338217_-81.613383","Cultural Center","",38.338217,-81.613383
"D St & 4th Ave_D St & 4th Ave_38.366110_-81.694730","D St & 4th Ave","",38.366110,-81.694730
"D St & 6th Ave_D St & 6th Ave_38.367650_-81.695900","D St & 6th Ave","",38.367650,-81.695900
"Daniel Boone Park_Daniel Boone Park_38.331368_-81.583829","Daniel Boone Park","",38.331368,-81.583829
"Daverton Rd & Thorne Rd_Daverton Rd & Thorne Rd_38.356560_-81.664098","Daverton Rd & Thorne Rd","",38.356560,-81.664098
"Davis Creek_Davis Creek_38.340048_-81.703263","Davis Creek","",38.340048,-81.703263
"Dick's Sporting Goods_Dick's Sporting Goods_38.336030_-81.713070","Dick's Sporting Goods","",38.336030,-81.713070
"Diehl's Restaurant_Diehl's Restaurant_38.410130_-81.844510","Diehl's Restaurant","",38.410130,-81.844510
"Dollar Tree_Dollar Tree_38.368790_-81.668690","Dollar Tree","",38.368790,-81.668690
"Donnally St & Capitol St_Donnally St & Capitol St_38.352007_-81.630658","Donnally St & Capitol St","",38.352007,-81.630658
"Donnally St & Summers St_Donnally St & Summers St_38.352788_-81.631380","Donnally St & Summers St","",38.352788,-81.631380
"Dorchester Rd & Mountain Rd_Dorchester Rd & Mountain Rd_38.359761_-81.671434","Dorchester Rd & Mountain Rd","",38.359761,-81.671434
"DOW Chemical_DOW Chemical_38.368370_-81.691230","DOW Chemical","",38.368370,-81.691230
"Dunbar Ave & 12th St_Dunbar Ave & 12th St_38.360387_-81.739770","Dunbar Ave & 12th St","",38.360387,-81.739770
"Dunbar Ave & 16th St_Dunbar Ave & 16th St_38.361240_-81.744750","Dunbar Ave & 16th St","",38.361240,-81.744750
"Dunbar Ave & 2nd St_Dunbar Ave & 2nd St_38.361527_-81.726172","Dunbar Ave & 2nd St","",38.361527,-81.726172
"Dunbar Village Shopping Center_Dunbar Village Shopping Center_38.360240_-81.735330","Dunbar Village Shopping Center","",38.360240,-81.735330
"DuPont_DuPont_38.244220_-81.553760","DuPont","",38.244220,-81.553760
"E Dupont Ave & 19th St_E Dupont Ave & 19th St_38.224070_-81.526840","E Dupont Ave & 19th St","",38.224070,-81.526840
"E Dupont Ave & 21st St_E Dupont Ave & 21st St_38.221590_-81.523130","E Dupont Ave & 21st St","",38.221590,-81.523130
"E Dupont Ave & AEP Way_E Dupont Ave & AEP Way_38.208183_-81.420418","E Dupont Ave & AEP Way","",38.208183,-81.420418
"E Dupont Ave & Britt Hollow_E Dupont Ave & Britt Hollow_38.209245_-81.399933","E Dupont Ave & Britt Hollow","",38.209245,-81.399933
"E Dupont Ave & Carbide Dr_E Dupont Ave & Carbide Dr_38.218281_-81.521220","E Dupont Ave & Carbide Dr","",38.218281,-81.521220
"E Dupont Ave & Dorothy Dr_E Dupont Ave & Dorothy Dr_38.211820_-81.463990","E Dupont Ave & Dorothy Dr","",38.211820,-81.463990
"E Dupont Ave & Dunn Hollow_E Dupont Ave & Dunn Hollow_38.184900_-81.340930","E Dupont Ave & Dunn Hollow","",38.184900,-81.340930
"E Dupont Ave & Maroney Ln_E Dupont Ave & Maroney Ln_38.206360_-81.471360","E Dupont Ave & Maroney Ln","",38.206360,-81.471360
"E Dupont Ave & Mile Branch Rd_E Dupont Ave & Mile Branch Rd_38.220520_-81.448440","E Dupont Ave & Mile Branch Rd","",38.220520,-81.448440
"E Dupont Ave & Stephen St Access Rd_E Dupont Ave & Stephen St Access Rd_38.209274_-81.372424","E Dupont Ave & Stephen St Access Rd","",38.209274,-81.372424
"E Dupont Ave & Warrior Way_E Dupont Ave & Warrior Way_38.210378_-81.511308","E Dupont Ave & Warrior Way","",38.210378,-81.511308
"Elizabeth St & Washington St_Elizabeth St & Washington St_38.340360_-81.616570","Elizabeth St & Washington St","",38.340360,-81.616570
"Elk Center Community Education_Elk Center Community Education_38.397950_-81.569990","Elk Center Community Education","",38.397950,-81.569990
"Fairlawn Ave & 22nd St_Fairlawn Ave & 22nd St_38.369420_-81.746210","Fairlawn Ave & 22nd St","",38.369420,-81.746210
"Fairlawn Ave & Goff Mountain Rd_Fairlawn Ave & Goff Mountain Rd_38.388850_-81.780840","Fairlawn Ave & Goff Mountain Rd","",38.388850,-81.780840
"Fairlawn Ave & King St_Fairlawn Ave & King St_38.378120_-81.757010","Fairlawn Ave & King St","",38.378120,-81.757010
"Fairlawn Ave & Washington Dr_Fairlawn Ave & Washington Dr_38.373019_-81.750749","Fairlawn Ave & Washington Dr","",38.373019,-81.750749
"Fayette Pike W & Jackson St_Fayette Pike W & Jackson St_38.180260_-81.331050","Fayette Pike W & Jackson St","",38.180260,-81.331050
"Fayette Pike W & S Ferry St_Fayette Pike W & S Ferry St_38.180530_-81.323220","Fayette Pike W & S Ferry St","",38.180530,-81.323220
"Ferry St & Thayer St_Ferry St & Thayer St_38.349609_-81.643630","Ferry St & Thayer St","",38.349609,-81.643630
"Five Corners_Five Corners_38.362130_-81.648500","Five Corners","",38.362130,-81.648500
"Frame Rd & Little Sandy Rd_Frame Rd & Little Sandy Rd_38.457350_-81.496940","Frame Rd & Little Sandy Rd","",38.457350,-81.496940
"Frame Rd & Old Frame Rd_Frame Rd & Old Frame Rd_38.448060_-81.483099","Frame Rd & Old Frame Rd","",38.448060,-81.483099
"Frontage Rd & 28th St_Frontage Rd & 28th St_38.330140_-81.610122","Frontage Rd & 28th St","",38.330140,-81.610122
"Frontage Rd & 31st St_Frontage Rd & 31st St_38.329090_-81.604680","Frontage Rd & 31st St","",38.329090,-81.604680
"Frontage Rd & Porter Rd_Frontage Rd & Porter Rd_38.338369_-81.628800","Frontage Rd & Porter Rd","",38.338369,-81.628800
"Glendale Ave & Daniels Ave_Glendale Ave & Daniels Ave_38.354690_-81.689410","Glendale Ave & Daniels Ave","",38.354690,-81.689410
"Goff Mountain Rd & Brick Ln_Goff Mountain Rd & Brick Ln_38.416548_-81.794232","Goff Mountain Rd & Brick Ln","",38.416548,-81.794232
"Golden Living Centers - Riverside_Golden Living Centers - Riverside_38.371599_-81.770548","Golden Living Centers - Riverside","",38.371599,-81.770548
"Gordon Dr & Dabney Dr_Gordon Dr & Dabney Dr_38.351304_-81.661428","Gordon Dr & Dabney Dr","",38.351304,-81.661428
"Gordon Dr & Daverton Dr_Gordon Dr & Daverton Dr_38.356170_-81.670510","Gordon Dr & Daverton Dr","",38.356170,-81.670510
"Gordon Dr & Spotwood Dr_Gordon Dr & Spotwood Dr_38.353220_-81.666074","Gordon Dr & Spotwood Dr","",38.353220,-81.666074
"Gorridor G & Oakwood Rd_Gorridor G & Oakwood Rd_38.341614_-81.663255","Gorridor G & Oakwood Rd","",38.341614,-81.663255
"Greenbrier St & Hillcrest Dr_Greenbrier St & Hillcrest Dr_38.344741_-81.607328","Greenbrier St & Hillcrest Dr","",38.344741,-81.607328
"Greenbrier St & Oakridge Dr_Greenbrier St & Oakridge Dr_38.346607_-81.605419","Greenbrier St & Oakridge Dr","",38.346607,-81.605419
"Greenbrier St & Quarrier St_Greenbrier St & Quarrier St_38.338073_-81.615084","Greenbrier St & Quarrier St","",38.338073,-81.615084
"Greenbrier St & Rutledge Rd_Greenbrier St & Rutledge Rd_38.366450_-81.581810","Greenbrier St & Rutledge Rd","",38.366450,-81.581810
"Greenbrier St & Washington St_Greenbrier St & Washington St_38.339204_-81.614205","Greenbrier St & Washington St","",38.339204,-81.614205
"Harbor Freight_Harbor Freight_38.420500_-81.794280","Harbor Freight","",38.420500,-81.794280
"Herbert Hoover High School_Herbert Hoover High School_38.473490_-81.396262","Herbert Hoover High School","",38.473490,-81.396262
"Highland Ave & Carper St_Highland Ave & Carper St_38.362740_-81.679720","Highland Ave & Carper St","",38.362740,-81.679720
"Hillcrest Apartments_Hillcrest Apartments_38.342210_-81.603060","Hillcrest Apartments","",38.342210,-81.603060
"I-64 Ramp (East)_I-64 Ramp_38.353810_-81.649810","I-64 Ramp (East)","I-64 Ramp",38.353810,-81.649810
"I-64 Ramp (West)_I-64 Ramp (West)_38.354150_-81.652160","I-64 Ramp (West)","",38.354150,-81.652160
"Ivy Terrace Apartments_Ivy Terrace Apartments_38.323300_-81.584600","Ivy Terrace Apartments","",38.323300,-81.584600
"Joplin Park_Joplin Park_38.362710_-81.673140","Joplin Park","",38.362710,-81.673140
"Kanawha Blvd & Campbells Creek Dr_Kanawha Blvd & Campbells Creek Dr_38.309324_-81.556511","Kanawha Blvd & Campbells Creek Dr","",38.309324,-81.556511
"Kanawha Blvd & E Point Dr_Kanawha Blvd & E Point Dr_38.332570_-81.586830","Kanawha Blvd & E Point Dr","",38.332570,-81.586830
"Kanawha Blvd & River Ln_Kanawha Blvd & River Ln_38.313435_-81.559459","Kanawha Blvd & River Ln","",38.313435,-81.559459
"Kanawha Terrace & 5th St_Kanawha Terrace & 5th St_38.375040_-81.788330","Kanawha Terrace & 5th St","",38.375040,-81.788330
"Kanawha Terrace & Campbell Ln_Kanawha Terrace & Campbell Ln_38.374422_-81.781300","Kanawha Terrace & Campbell Ln","",38.374422,-81.781300
"Kanawha Terrace & Hansford St_Kanawha Terrace & Hansford St_38.378870_-81.818690","Kanawha Terrace & Hansford St","",38.378870,-81.818690
"Kanawha Terrace & Hudson St_Kanawha Terrace & Hudson St_38.377841_-81.811486","Kanawha Terrace & Hudson St","",38.377841,-81.811486
"Kanawha Terrace & Park St_Kanawha Terrace & Park St_38.381260_-81.825560","Kanawha Terrace & Park St","",38.381260,-81.825560
"Kanawha Terrace & Shrewsbury Dr_Kanawha Terrace & Shrewsbury Dr_38.375890_-81.798010","Kanawha Terrace & Shrewsbury Dr","",38.375890,-81.798010
"Kanawha Terrace & Ulysses Rd_Kanawha Terrace & Ulysses Rd_38.375320_-81.793300","Kanawha Terrace & Ulysses Rd","",38.375320,-81.793300
"Kanawha Terrace & Walnut St_Kanawha Terrace & Walnut St_38.377200_-81.807164","Kanawha Terrace & Walnut St","",38.377200,-81.807164
"Kanawha Terrace & Washington St_Kanawha Terrace & Washington St_38.380150_-81.821520","Kanawha Terrace & Washington St","",38.380150,-81.821520
"Kanawha Terrace Apartments_Kanawha Terrace Apartments_38.374580_-81.783630","Kanawha Terrace Apartments","",38.374580,-81.783630
"Kanawha Tpk & Angus Peyton Dr_Kanawha Tpk & Angus Peyton Dr_38.358461_-81.700343","Kanawha Tpk & Angus Peyton Dr","",38.358461,-81.700343
"Kanawha Tpk & Highland Ave_Kanawha Tpk & Highland Ave_38.363690_-81.676510","Kanawha Tpk & Highland Ave","",38.363690,-81.676510
"Kmart (Kanawha City)_Kmart_38.302500_-81.563690","Kmart (Kanawha City)","Kmart",38.302500,-81.563690
"Kmart (Patrick St Plaza)_Kmart_38.370350_-81.667410","Kmart (Patrick St Plaza)","Kmart",38.370350,-81.667410
"Kohl's_Kohl's_38.327540_-81.714610","Kohl's","",38.327540,-81.714610
"Kroger (Kanawha City)_Kroger_38.311892_-81.565123","Kroger (Kanawha City)","Kroger",38.311892,-81.565123
"Kroger (Marmet)_Kroger_38.240313_-81.559277","Kroger (Marmet)","Kroger",38.240313,-81.559277
"La Roca_La Roca_38.413280_-81.806890","La Roca","",38.413280,-81.806890
"Laidley Field Parking (Elizabeth St)_Laidley Field Parking (Elizabeth St)_38.342960_-81.614140","Laidley Field Parking (Elizabeth St)","",38.342960,-81.614140
"Laidley Field Parking (Piedmont Rd)_Laidley Field Parking (Piedmont Rd)_38.342320_-81.613300","Laidley Field Parking (Piedmont Rd)","",38.342320,-81.613300
"Lakeview Dr & Don Karnes Blvd_Lakeview Dr & Don Karnes Blvd_38.412426_-81.804448","Lakeview Dr & Don Karnes Blvd","",38.412426,-81.804448
"Lakeview Dr & Goff Mountain Rd_Lakeview Dr & Goff Mountain Rd_38.414660_-81.794890","Lakeview Dr & Goff Mountain Rd","",38.414660,-81.794890
"Lakeview Dr & Jain Dr_Lakeview Dr & Jain Dr_38.412306_-81.798873","Lakeview Dr & Jain Dr","",38.412306,-81.798873
"Laurel Rd & Oakmont Rd_Laurel Rd & Oakmont Rd_38.343450_-81.645680","Laurel Rd & Oakmont Rd","",38.343450,-81.645680
"Lee St & Capitol St_Lee St & Capitol St_38.350541_-81.633160","Lee St & Capitol St","",38.350541,-81.633160
"Lee St & Clendenin St_Lee St & Clendenin St_38.356040_-81.638970","Lee St & Clendenin St","",38.356040,-81.638970
"Lee St & Court St_Lee St & Court St_38.353419_-81.635427","Lee St & Court St","",38.353419,-81.635427
"Lee St & Delaware Ave_Lee St & Delaware Ave_38.363720_-81.645150","Lee St & Delaware Ave","",38.363720,-81.645150
"Lee St & Leon Sullivan Way_Lee St & Leon Sullivan Way_38.348532_-81.630802","Lee St & Leon Sullivan Way","",38.348532,-81.630802
"Lee St & Maryland Ave_Lee St & Maryland Ave_38.362980_-81.644630","Lee St & Maryland Ave","",38.362980,-81.644630
"Lee St & Ohio Ave_Lee St & Ohio Ave_38.361540_-81.643500","Lee St & Ohio Ave","",38.361540,-81.643500
"Lee St & Pennsylvania Ave_Lee St & Pennsylvania Ave_38.359060_-81.641510","Lee St & Pennsylvania Ave","",38.359060,-81.641510
"Leon Sullivan Way & Lewis St_Leon Sullivan Way & Lewis St_38.350500_-81.628360","Leon Sullivan Way & Lewis St","",38.350500,-81.628360
"Littlepage Terrace_Littlepage Terrace_38.375290_-81.665438","Littlepage Terrace","",38.375290,-81.665438
"London Locks_London Locks_38.194553_-81.368603","London Locks","",38.194553,-81.368603
"Longhorn Steakhouse_Longhorn Steakhouse_38.331440_-81.712740","Longhorn Steakhouse","",38.331440,-81.712740
