service_id,date,exception_type
163-161,20180101,2
163-161,20180115,2
163-161,20180219,2
163-161,20180330,2
163-161,20180528,2
163-161,20180620,2
163-161,20180704,2
163-161,20180903,2
163-161,20181008,2
163-161,20181122,2
163-161,20181123,2
163-161,20181224,2
163-161,20181225,2
163-161,20190101,2
163-161,20190121,2
163-161,20190218,2
